,Name,Partido
0,ACIR GURGACZ,PDT
1,AIRTON SANDOVAL,MDB
2,ALVARO DIAS,PODEMOS
3,ANA AMÉLIA,PP
4,ANTONIO ANASTASIA,PSDB
5,ANTÔNIO CARLOS VALADARES,PSB
6,ARMANDO MONTEIRO,PTB
7,ATAÍDES OLIVEIRA,PSDB
8,AÉCIO NEVES,PSDB
9,BENEDITO DE LIRA,PP
10,CIDINHO SANTOS,PL
11,CIRO NOGUEIRA,PP
12,CRISTOVAM BUARQUE,CIDADANIA
13,CÁSSIO CUNHA LIMA,PSDB
14,DALIRIO BEBER,PSDB
15,DAVI ALCOLUMBRE,DEM
16,DÁRIO BERGER,MDB
17,EDISON LOBÃO,MDB
18,EDUARDO AMORIM,PSDB
19,EDUARDO BRAGA,MDB
20,EDUARDO LOPES,PRB
21,ELBER BATALHA,PSB
22,ELMANO FÉRRER,PODEMOS
23,FERNANDO BEZERRA COELHO,MDB
24,FERNANDO COLLOR,PTC
25,FLEXA RIBEIRO,PSDB
26,FÁTIMA BEZERRA,PT
27,GARIBALDI ALVES FILHO,MDB
28,GIVAGO TENÓRIO,PP
29,GLADSON CAMELI,PP
30,GLEISI HOFFMANN,PT
31,GUARACY SILVEIRA,PSL
32,HUMBERTO COSTA,PT
33,HÉLIO JOSÉ,PROS
34,IONE GUIMARÃES,PTB
35,IVO CASSOL,PP
36,JADER BARBALHO,MDB
37,JORGE VIANA,PT
38,JOSÉ AGRIPINO,DEM
39,JOSÉ AMAURI,PODEMOS
40,JOSÉ MARANHÃO,MDB
41,JOSÉ MEDEIROS,PODEMOS
42,JOSÉ PIMENTEL,PT
43,JOSÉ SERRA,PSDB
44,JOÃO ALBERTO SOUZA,MDB
45,JOÃO CAPIBERIBE,PSB
46,KÁTIA ABREU,PDT
47,LASIER MARTINS,PSD
48,LINDBERGH FARIAS,PT
49,LÍDICE DA MATA,PSB
50,LÚCIA VÂNIA,PSB
51,MAGNO MALTA,PL
52,MARIA DO CARMO ALVES,DEM
53,MARTA SUPLICY,MDB
54,OMAR AZIZ,PSD
55,OTTO ALENCAR,PSD
56,PASTOR BEL,PRTB
57,PAULO BAUER,PSDB
58,PAULO PAIM,PT
59,PAULO ROCHA,PT
60,PEDRO CHAVES DOS SANTOS FILHO,PRB
61,RAIMUNDO LIRA,PSD
62,RANDOLFE RODRIGUES,REDE
63,REDITARIO CASSOL,PP
64,REGINA SOUSA,PT
65,RENAN CALHEIROS, MDB
66,RICARDO FERRAÇO,PSDB
67,ROBERTO MUNIZ,PP
68,ROBERTO REQUIÃO,MDB
69,ROBERTO ROCHA,PSDB
70,RODRIGUES PALMA,PL
71,ROMERO JUCÁ,MDB
72,ROMÁRIO,PODEMOS
73,RONALDO CAIADO,DEM
74,ROSE DE FREITAS,PODEMOS
75,RUDSON LEITE,PV
76,SIMONE TEBET,MDB
77,SÉRGIO DE CASTRO,PDT
78,SÉRGIO PETECÃO,PSD
79,TASSO JEREISSATI,PSDB
80,TELMÁRIO MOTA,PTB
81,VALDIR RAUPP, MDB
82,VANESSA GRAZZIOTIN,PCdoB
83,VICENTINHO ALVES, PL
84,WALDEMIR MOKA,MDB
85,WALTER PINHEIRO,S/Partido
86,WELLINGTON FAGUNDES, PL
87,WILDER MORAIS, DEM
88,ZEZÉ PERRELLA,MDB
89,ZÉ SANTANA,MDB
90,ÂNGELA PORTELA,PDT
